epoch,epoch_loss,train_accuracy,val_score,iou_score,pr_auc,precision,recall,confusion
1,1.1064618056596711,0.8082342956091462,0.5880718330542246,0.3020772854487101,0.9214192642966657,0.8654845680207371,0.8250518176020408,"[[1915608  183921       0       0]
 [ 255768  381171       0       0]
 [  19651   14567       0       0]
 [  13367     715       0       0]]"
2,0.5893109641795935,0.9434664517501691,0.6680388649304708,0.3949383000532786,0.979703773665822,0.9281407145313723,0.9248149181547619,"[[2040938   71813       0       0]
 [  83277  534495       0       0]
 [   9239   26831       0       0]
 [  16087    2088       0       0]]"
3,0.5218467656956163,0.9464350749441235,0.6589750448862711,0.43795922199885057,0.9832655609350885,0.9355277026298685,0.9349517697704082,"[[2051136    5800     221       0]
 [ 113971  534507   15185       0]
 [   8979   17538   19026       0]
 [  13296    1088    4021       0]]"
4,0.49109115988709207,0.955848301124171,0.6660299499829611,0.4358146091302236,0.986114922595888,0.9428362543670009,0.9390043712797619,"[[2077272   12291     722     197]
 [  95420  518755   27622     675]
 [   5510   10282   21057     842]
 [   8181     402    4231    1309]]"
5,0.47544796730196753,0.9544525601322185,0.6871376236279806,0.45413451989491777,0.9884548202772541,0.9458673337516571,0.9397868835034014,"[[2037443   58625     546     707]
 [  42078  562768   32464    1775]
 [   1924    8282   17033    4868]
 [   7744     635    2057    5819]]"
6,0.43468190105848536,0.9622613574042013,0.7079524795214335,0.4607624292373657,0.9912188266052168,0.9542560785807715,0.9543556016156464,"[[2050200   30779     238     217]
 [  46591  592006   14210    1936]
 [   1490   12243   11862    7940]
 [   6423     886    1339    6408]]"
7,0.46450984339381374,0.951466184001681,0.7063515782356262,0.46063687403996784,0.9915038227940748,0.9548895108255936,0.951101456207483,"[[2049637   12264     405    1644]
 [  62359  580607   20310    6316]
 [   1968   10860   12814   10402]
 [   4477     668     785    9252]]"
8,0.4305739264155543,0.9591286255248825,0.7204851706822714,0.43200827439626055,0.9844077877418883,0.940874828711718,0.9400182025935374,"[[2109268    6989      16     394]
 [ 112110  495309   14659    2221]
 [   2709   12225   10461    4661]
 [   5975     674    1375    5722]]"
9,0.41874748537706774,0.9604094826234043,0.7018968860308329,0.4585624873638153,0.9869356083617271,0.950896763234538,0.950842899659864,"[[2063158   22602     367     688]
 [  65567  564128   16157    1244]
 [   2060   14345   18265    2237]
 [   4086     987    4034    4843]]"
10,0.38308582264323565,0.9604553299692938,0.684033215045929,0.46202343702316284,0.9873774183314382,0.9518011397922672,0.949264987244898,"[[2091281    9678     753    1369]
 [  78725  525989   21336    3147]
 [   1345   11333   21814    3266]
 [   4218     582    3010    6922]]"
11,0.4393883943557739,0.9651900281011824,0.7041218479474386,0.4610282560189565,0.9914401111173808,0.953936534427076,0.9550469680059525,"[[2062372   13343     524    1429]
 [  65498  577955    9855    1765]
 [   1272   17517   14733    1884]
 [   5262    1418    3769    6172]]"
12,0.4166781663201576,0.9616257005235354,0.6935410102208456,0.48499346375465396,0.9978241279189648,0.9661214818020397,0.9671251860119048,"[[2095597   25719    1169    3537]
 [  18653  582321    5614    2112]
 [    566   20463   10887    2259]
 [   3245    1870    3429    7327]]"
13,0.39583565883858257,0.9628663521467978,0.708336611588796,0.49760662118593846,0.9981342214872164,0.9701439787163761,0.9692294456845237,"[[2070413   24893     143    3965]
 [  16745  607781    6884    3405]
 [    286   17090   15697    3908]
 [   1440    1074    2327    8717]]"
14,0.3799670903488647,0.9639967669773276,0.695637971162796,0.49331557303667073,0.9978925773387699,0.9699543334566151,0.9685387934470663,"[[2753595   32394     806    8423]
 [  19519  812880   12575    5197]
 [    933   19889   18978    4755]
 [   2785    1855    4789   13651]]"
15,0.3943475706632747,0.9622002042681052,0.7224996288617452,0.4955043613910675,0.9981518630312497,0.9690154900820979,0.9682912813562924,"[[2047658   24584     376    5498]
 [  13715  622557    8292    3955]
 [    315   19646   15496    4189]
 [   2627    1156    2954   11750]]"
16,0.3853420947873315,0.9661795267645844,0.6893219947814941,0.5009994308153788,0.9980016196716764,0.9689550172092821,0.9682634460034013,"[[2054099   21102     650    7161]
 [  13848  615635    8631    3768]
 [    341   20740   16879    3786]
 [   2164    1178    3408   11378]]"
